Block,Center Coord,
100195,|[40.71788629238187,-74.00211055708067]|
100196,|[40.71849003331289,-74.00158008952059]|
100197,|[40.71748055754754,-74.00087321674332]|
100198,|[40.717121891196484,-74.00006463731475]|
100199,|[40.71645100616861,-73.99947416921472]|
100200,|[40.71616866131517,-73.99866248304784]|
100201,|[40.71588628531207,-73.99786241109052]|
100202,|[40.715608834250986,-73.99706280701926]|
100203,|[40.716814763089175,-73.99626604913311]|
100204,|[40.717091122815134,-73.9971191524204]|
100205,|[40.71737060143908,-73.99791955706897]|
100206,|[40.71770212062329,-73.9987142119169]|
100207,|[40.71807579644466,-73.99933984161588]|
100208,|[40.718553438410396,-73.99995776388953]|
100209,|[40.71918472782617,-74.00096750981379]|
100210,|[40.719719497773994,-74.00289476443983]|
100211,|[40.72053099875566,-74.00440522786229]|
100212,|[40.72080373412774,-74.00590187758286]|
100214,|[40.72094968486202,-74.0092114198039]|
100215,|[40.721642373222956,-74.00910457801457]|
100216,|[40.72062300349119,-74.01118490263258]|
100217,|[40.721744176372844,-74.01076068893715]|
100218,|[40.72246144667541,-74.01062751349315]|
100219,|[40.722298404951836,-74.00897828840638]|
100220,|[40.722145657087665,-74.00742006637356]|
100221,|[40.72275987731606,-74.00739037084836]|
100222,|[40.72295550546673,-74.00886034847379]|
100223,|[40.723188959020604,-74.01041174961847]|
100224,|[40.72378194581283,-74.0105015107162]|
100225,|[40.72356238384152,-74.00875594563036]|
100226,|[40.72340013923041,-74.00694695334042]|
100227,|[40.722208687186665,-74.0047120102013]|
100228,|[40.72151676077608,-74.00390771895509]|
100229,|[40.72107944171927,-74.0033026771379]|
100230,|[40.72062934571113,-74.0025156832301]|
100231,|[40.72018570625242,-74.0018159818984]|
100232,|[40.720035157111184,-74.00074752099528]|
100233,|[40.719692865411915,-73.99999568937538]|
100234,|[40.719509418558836,-73.9991391873688]|
100235,|[40.718933113181876,-73.99880673331033]|
100236,|[40.718675602672356,-73.99812931123182]|
100237,|[40.718415311649395,-73.99729596582304]|
100238,|[40.718137609582115,-73.99649332810353]|
100239,|[40.71785296386274,-73.99569665402456]|
100241,|[40.710027519363955,-73.98369641519002]|
100243,|[40.71107191146187,-73.98234034530249]|
100244,|[40.71100319204913,-73.98412924542833]|
100245,|[40.71097676660256,-73.98608511166327]|
100246,|[40.7107707588509,-73.98740881903781]|
100247,|[40.71087667558761,-73.98930746581397]|
100248,|[40.71039755590006,-73.99047676408796]|
100249,|[40.710487588199726,-73.99381845568256]|
100250,|[40.70959648821355,-73.99542313378447]|
100253,|[40.710838584979115,-73.99618065969358]|
100254,|[40.71086634204461,-73.99346401887854]|
100255,|[40.71156382146627,-73.9905987972563]|
100256,|[40.71187990363708,-73.98839252209265]|
100258,|[40.712001988195155,-73.98548465339547]|
100259,|[40.71227625583842,-73.98453005676609]|
100260,|[40.712224912246896,-73.98240364593063]|
100262,|[40.71078490564665,-73.98014288306797]|
100263,|[40.712636436748255,-73.97978212797554]|
100266,|[40.7138786223057,-73.98061299810578]|
100267,|[40.71354180737784,-73.9833767810726]|
100269,|[40.71335273024924,-73.9863236992019]|
100270,|[40.713182068060135,-73.98807404595637]|
100271,|[40.71306900341915,-73.98952802229402]|
100273,|[40.71292234569492,-73.99150136070796]|
100274,|[40.71198149012769,-73.99367010600767]|
100275,|[40.71271712352817,-73.99377725704079]|
100276,|[40.71180952136693,-73.99597264243265]|
100277,|[40.71251322724942,-73.99621829020049]|
100279,|[40.712469352660406,-73.99821625407189]|
100280,|[40.713197357408006,-73.99629563344486]|
100281,|[40.71374229132476,-73.99670852525728]|
100282,|[40.713680317283924,-73.9939837736349]|
100283,|[40.71386949746713,-73.99174091785211]|
100284,|[40.71376033571606,-73.9894703858576]|
100285,|[40.713877251909224,-73.98810288786922]|
100286,|[40.71404703626354,-73.98649206708171]|
100288,|[40.71415245884866,-73.98375254343952]|
100289,|[40.71473516754541,-73.9963196732102]|
100292,|[40.71494358874622,-73.9940966215433]|
100293,|[40.71462437548756,-73.99356580527115]|
100294,|[40.71462059579193,-73.99221525098852]|
100297,|[40.71497281751245,-73.99059376402708]|
100298,|[40.71520299009107,-73.99131035643056]|
100299,|[40.715382015954475,-73.99190547246772]|
100300,|[40.71565953705543,-73.99281272177521]|
100301,|[40.71600166884764,-73.99367342424691]|
100302,|[40.716704102445256,-73.99409335351447]|
100303,|[40.71653858701061,-73.99523688977834]|
100304,|[40.71752459073514,-73.99471868398965]|
100306,|[40.717009144972195,-73.99303411097347]|
100307,|[40.71684558676081,-73.99220100569619]|
100308,|[40.716493870201106,-73.99133254604818]|
100309,|[40.71631336026213,-73.9907221412457]|
100310,|[40.71608234655886,-73.98997080388187]|
100311,|[40.7149538004371,-73.98831268885738]|
100315,|[40.71493726997565,-73.98618940099178]|
100316,|[40.712771775842356,-73.97615203615928]|
100321,|[40.71475004686205,-73.97920729000336]|
100323,|[40.71771949827452,-73.97787249494658]|
100325,|[40.71824624192192,-73.97629414899217]|
100331,|[40.71499873999501,-73.98180110624261]|
100333,|[40.71754780676017,-73.98087055317933]|
100335,|[40.7192209953671,-73.97967529212727]|
100336,|[40.7155473543859,-73.9834021548629]|
100338,|[40.71872538137319,-73.98182656776125]|
100340,|[40.719514408319,-73.98177688816126]|
100341,|[40.71586678103374,-73.98522894931048]|
100342,|[40.71645745546942,-73.9840210147477]|
100343,|[40.717893720210654,-73.98368146297076]|
100344,|[40.71910333367572,-73.98361548591032]|
100345,|[40.72018159244992,-73.98276789298805]|
100346,|[40.71663910896683,-73.98763780651342]|
100347,|[40.7168366919486,-73.9852680163907]|
100348,|[40.718333004760055,-73.98546039591517]|
100349,|[40.719594371409016,-73.9852279215612]|
100350,|[40.72063508647395,-73.98427067990667]|
